step,loss
0,0.003627113
100,0.0042025563
200,0.0036089008
300,0.0040671458
400,0.0036224346
500,0.0040657492
600,0.0033379344
700,0.003918788
800,0.0039211954
900,0.003898129
1000,0.003985834
1100,0.004023344
1200,0.0036126988
1300,0.0039022057
1400,0.31211182
1500,0.0065969005
1600,0.004327833
1700,0.0033931793
1800,0.003846
1900,0.0042523057
2000,0.0036680354
2100,0.003730998
